#Id	Can be broken by	Normal Drop	Ultimallet Drop	Description
666	Giant Mallet	Carved Castle Tile {Red} x1 {3147}	Carved Castle Tile {Red} x1 {3147}	0
667	Giant Mallet	Carved Castle Tile {Green} x1 {3148}	Carved Castle Tile {Green} x1 {3148}	0
668	Giant Mallet	Carved Castle Tile {Yellow} x1 {3149}	Carved Castle Tile {Yellow} x1 {3149}	0
669	Giant Mallet	Carved Castle Tile {Blue} x1 {3150}	Carved Castle Tile {Blue} x1 {3150}	0
670	Intangible Block	Nothing {-1}	Nothing {-1}	0
671	Intangible Block	Nothing {-1}	Nothing {-1}	0
672	Intangible Block	Nothing {-1}	Nothing {-1}	0
673	Intangible Block	Nothing {-1}	Nothing {-1}	0
674	Intangible Block	Nothing {-1}	Nothing {-1}	0
675	Intangible Block	Nothing {-1}	Nothing {-1}	0
676	Intangible Block	Nothing {-1}	Nothing {-1}	0
677	Intangible Block	Nothing {-1}	Nothing {-1}	0
678	Sledgehammer	Bronze Temple Tile x1 {1056}	Bronze Temple Tile x1 {1056}	0
679	Sledgehammer	Blue Temple Tile x1 {1057}	Blue Temple Tile x1 {1057}	0
680	Giant Mallet	Strawberry Seed x2 {1826}	Strawberry Seed x2 {1826}	0
681	Giant Mallet	Aubergette Seed x2 {1832}	Aubergette Seed x2 {1832}	0
682	Cypress Stick	Sweetcorn Kernel x2 {1823}	Sweetcorn Kernel x2 {1823}	0
683	Giant Mallet	Coffee Bean x2 {1827}	Coffee Bean x2 {1827}	0
684	Cypress Stick	Leek Seed x2 {1828}	Leek Seed x2 {1828}	0
685	Giant Mallet	Melon Seed x2 {1834}	Melon Seed x2 {1834}	0
686	Giant Mallet	Gravel Block x1 {1108}	Gravel Block x1 {1108}	0
687	Giant Mallet	Scaled Wall Block x1 {1112}	Scaled Wall Block x1 {1112}	0
688	Giant Mallet	Slatted Wall Block x1 {1136}	Slatted Wall Block x1 {1136}	0
689	Giant Mallet	Woven Straw Block x1 {3169}	Woven Straw Block x1 {3169}	0
690	Giant Mallet	Woven Straw Block x1 {3169}	Woven Straw Block x1 {3169}	0
691	Giant Mallet	Woven Straw Block x1 {3169}	Woven Straw Block x1 {3169}	0
692	Giant Mallet	Woven Straw Block x1 {3169}	Woven Straw Block x1 {3169}	0
693	Giant Mallet	Woven Straw Block x1 {3169}	Woven Straw Block x1 {3169}	0
694	Giant Mallet	Scaled Wall Block {White} x1 {2713}	Scaled Wall Block {White} x1 {2713}	0
695	Giant Mallet	Scaled Wall Block {Black} x1 {2714}	Scaled Wall Block {Black} x1 {2714}	0
696	Giant Mallet	Scaled Wall Block {Purple} x1 {2715}	Scaled Wall Block {Purple} x1 {2715}	0
697	Giant Mallet	Scaled Wall Block {Pink} x1 {2716}	Scaled Wall Block {Pink} x1 {2716}	0
698	Giant Mallet	Scaled Wall Block {Red} x1 {2717}	Scaled Wall Block {Red} x1 {2717}	0
699	Giant Mallet	Scaled Wall Block {Green} x1 {2718}	Scaled Wall Block {Green} x1 {2718}	0
700	Giant Mallet	Scaled Wall Block {Yellow} x1 {2719}	Scaled Wall Block {Yellow} x1 {2719}	0
701	Giant Mallet	Scaled Wall Block {Blue} x1 {2720}	Scaled Wall Block {Blue} x1 {2720}	0
702	Giant Mallet	Polka-Dot Block x1 {3203}	Polka-Dot Block x1 {3203}	0
703	Giant Mallet	Polka-Dot Block {White} x1 {3204}	Polka-Dot Block {White} x1 {3204}	0
704	Giant Mallet	Polka-Dot Block {Black} x1 {3205}	Polka-Dot Block {Black} x1 {3205}	0
705	Giant Mallet	Polka-Dot Block {Purple} x1 {3206}	Polka-Dot Block {Purple} x1 {3206}	0
706	Giant Mallet	Polka-Dot Block {Pink} x1 {3207}	Polka-Dot Block {Pink} x1 {3207}	0
707	Giant Mallet	Polka-Dot Block {Red} x1 {3208}	Polka-Dot Block {Red} x1 {3208}	0
708	Giant Mallet	Polka-Dot Block {Green} x1 {3209}	Polka-Dot Block {Green} x1 {3209}	0
709	Giant Mallet	Polka-Dot Block {Yellow} x1 {3210}	Polka-Dot Block {Yellow} x1 {3210}	0
710	Giant Mallet	Polka-Dot Block {Blue} x1 {3211}	Polka-Dot Block {Blue} x1 {3211}	0
711	Giant Mallet	Faux Floral Floor Block x1 {3368}	Faux Floral Floor Block x1 {3368}	0
712	Giant Mallet	Palm-Patterned Block x1 {3369}	Palm-Patterned Block x1 {3369}	0
713	Giant Mallet	Fruity Fiend Block x1 {3370}	Fruity Fiend Block x1 {3370}	0
714	Giant Mallet	Chequered Block x1 {3371}	Chequered Block x1 {3371}	0
715	Giant Mallet	Sunset-Styled Block x1 {3372}	Sunset-Styled Block x1 {3372}	0
716	Giant Mallet	Seaweed-Styled Block x1 {3373}	Seaweed-Styled Block x1 {3373}	0
717	Giant Mallet	Stylish Stripy Block x1 {3374}	Stylish Stripy Block x1 {3374}	0
718	Giant Mallet	Seaside Scene  Block x1 {3375}	Seaside Scene  Block x1 {3375}	0
719	Giant Mallet	Abstract Floral Floor Block x1 {3376}	Abstract Floral Floor Block x1 {3376}	0
720	Giant Mallet	Herringbone Floorboard Block x1 {3377}	Herringbone Floorboard Block x1 {3377}	0
721	Giant Mallet	Night Sky Wall Block x1 {3378}	Night Sky Wall Block x1 {3378}	0
722	Giant Mallet	Granite Floor Block x1 {3379}	Granite Floor Block x1 {3379}	0
723	Giant Mallet	Stucco Wall Block x1 {3380}	Stucco Wall Block x1 {3380}	0
724	Giant Mallet	Stucco Wall Block {White} x1 {3409}	Stucco Wall Block {White} x1 {3409}	0
725	Giant Mallet	Stucco Wall Block {Black} x1 {3410}	Stucco Wall Block {Black} x1 {3410}	0
726	Giant Mallet	Stucco Wall Block {Purple} x1 {3411}	Stucco Wall Block {Purple} x1 {3411}	0
727	Giant Mallet	Stucco Wall Block {Pink} x1 {3412}	Stucco Wall Block {Pink} x1 {3412}	0
728	Giant Mallet	Stucco Wall Block {Red} x1 {3413}	Stucco Wall Block {Red} x1 {3413}	0
729	Giant Mallet	Stucco Wall Block {Green} x1 {3414}	Stucco Wall Block {Green} x1 {3414}	0
730	Giant Mallet	Stucco Wall Block {Yellow} x1 {3415}	Stucco Wall Block {Yellow} x1 {3415}	0
731	Giant Mallet	Stucco Wall Block {Blue} x1 {3416}	Stucco Wall Block {Blue} x1 {3416}	0
732	Giant Mallet	Palm-Patterned Block {White} x1 {3417}	Palm-Patterned Block {White} x1 {3417}	0
733	Giant Mallet	Palm-Patterned Block {Black} x1 {3418}	Palm-Patterned Block {Black} x1 {3418}	0
734	Giant Mallet	Palm-Patterned Block {Purple} x1 {3419}	Palm-Patterned Block {Purple} x1 {3419}	0
735	Giant Mallet	Palm-Patterned Block {Pink} x1 {3420}	Palm-Patterned Block {Pink} x1 {3420}	0
736	Giant Mallet	Palm-Patterned Block {Red} x1 {3421}	Palm-Patterned Block {Red} x1 {3421}	0
737	Giant Mallet	Palm-Patterned Block {Green} x1 {3422}	Palm-Patterned Block {Green} x1 {3422}	0
738	Giant Mallet	Palm-Patterned Block {Yellow} x1 {3423}	Palm-Patterned Block {Yellow} x1 {3423}	0
739	Giant Mallet	Palm-Patterned Block {Blue} x1 {3424}	Palm-Patterned Block {Blue} x1 {3424}	0
740	Giant Mallet	Chequered Block {White} x1 {3425}	Chequered Block {White} x1 {3425}	0
741	Giant Mallet	Chequered Block {Black} x1 {3426}	Chequered Block {Black} x1 {3426}	0
742	Giant Mallet	Chequered Block {Purple} x1 {3427}	Chequered Block {Purple} x1 {3427}	0
743	Giant Mallet	Chequered Block {Pink} x1 {3428}	Chequered Block {Pink} x1 {3428}	0
744	Giant Mallet	Chequered Block {Red} x1 {3429}	Chequered Block {Red} x1 {3429}	0
745	Giant Mallet	Chequered Block {Green} x1 {3430}	Chequered Block {Green} x1 {3430}	0
746	Giant Mallet	Chequered Block {Yellow} x1 {3431}	Chequered Block {Yellow} x1 {3431}	0
747	Giant Mallet	Chequered Block {Blue} x1 {3432}	Chequered Block {Blue} x1 {3432}	0
748	Giant Mallet	Stylish Stripy Block {White} x1 {3433}	Stylish Stripy Block {White} x1 {3433}	0
749	Giant Mallet	Stylish Stripy Block {Black} x1 {3434}	Stylish Stripy Block {Black} x1 {3434}	0
750	Giant Mallet	Stylish Stripy Block {Purple} x1 {3435}	Stylish Stripy Block {Purple} x1 {3435}	0
751	Giant Mallet	Stylish Stripy Block {Pink} x1 {3436}	Stylish Stripy Block {Pink} x1 {3436}	0
752	Giant Mallet	Stylish Stripy Block {Red} x1 {3437}	Stylish Stripy Block {Red} x1 {3437}	0
753	Giant Mallet	Stylish Stripy Block {Green} x1 {3438}	Stylish Stripy Block {Green} x1 {3438}	0
754	Giant Mallet	Stylish Stripy Block {Yellow} x1 {3439}	Stylish Stripy Block {Yellow} x1 {3439}	0
755	Giant Mallet	Stylish Stripy Block {Blue} x1 {3440}	Stylish Stripy Block {Blue} x1 {3440}	0
756	Giant Mallet	Herringbone Floorboard Block {White} x1 {3441}	Herringbone Floorboard Block {White} x1 {3441}	0
757	Giant Mallet	Herringbone Floorboard Block {Black} x1 {3442}	Herringbone Floorboard Block {Black} x1 {3442}	0
758	Giant Mallet	Herringbone Floorboard Block {Purple} x1 {3443}	Herringbone Floorboard Block {Purple} x1 {3443}	0
759	Giant Mallet	Herringbone Floorboard Block {Pink} x1 {3444}	Herringbone Floorboard Block {Pink} x1 {3444}	0
760	Giant Mallet	Herringbone Floorboard Block {Red} x1 {3445}	Herringbone Floorboard Block {Red} x1 {3445}	0
761	Giant Mallet	Herringbone Floorboard Block {Green} x1 {3446}	Herringbone Floorboard Block {Green} x1 {3446}	0
762	Giant Mallet	Herringbone Floorboard Block {Yellow} x1 {3447}	Herringbone Floorboard Block {Yellow} x1 {3447}	0
763	Giant Mallet	Herringbone Floorboard Block {Blue} x1 {3448}	Herringbone Floorboard Block {Blue} x1 {3448}	0
764	Giant Mallet	Night Sky Wall Block {White} x1 {3449}	Night Sky Wall Block {White} x1 {3449}	0
765	Giant Mallet	Night Sky Wall Block {Black} x1 {3450}	Night Sky Wall Block {Black} x1 {3450}	0
766	Giant Mallet	Night Sky Wall Block {Purple} x1 {3451}	Night Sky Wall Block {Purple} x1 {3451}	0
767	Giant Mallet	Night Sky Wall Block {Pink} x1 {3452}	Night Sky Wall Block {Pink} x1 {3452}	0
768	Giant Mallet	Night Sky Wall Block {Red} x1 {3453}	Night Sky Wall Block {Red} x1 {3453}	0
769	Giant Mallet	Night Sky Wall Block {Green} x1 {3454}	Night Sky Wall Block {Green} x1 {3454}	0
770	Giant Mallet	Night Sky Wall Block {Yellow} x1 {3455}	Night Sky Wall Block {Yellow} x1 {3455}	0
771	Giant Mallet	Night Sky Wall Block {Blue} x1 {3456}	Night Sky Wall Block {Blue} x1 {3456}	0
772	Giant Mallet	Modern Masonry Block x1 {3683}	Modern Masonry Block x1 {3683}	0
773	Giant Mallet	Modern Masonry Block {White} x1 {3684}	Modern Masonry Block {White} x1 {3684}	0
774	Giant Mallet	Modern Masonry Block {Black} x1 {3685}	Modern Masonry Block {Black} x1 {3685}	0
775	Giant Mallet	Modern Masonry Block {Purple} x1 {3686}	Modern Masonry Block {Purple} x1 {3686}	0
776	Giant Mallet	Modern Masonry Block {Pink} x1 {3687}	Modern Masonry Block {Pink} x1 {3687}	0
777	Giant Mallet	Modern Masonry Block {Red} x1 {3688}	Modern Masonry Block {Red} x1 {3688}	0
778	Giant Mallet	Modern Masonry Block {Green} x1 {3689}	Modern Masonry Block {Green} x1 {3689}	0
779	Giant Mallet	Modern Masonry Block {Yellow} x1 {3690}	Modern Masonry Block {Yellow} x1 {3690}	0
780	Giant Mallet	Modern Masonry Block {Blue} x1 {3691}	Modern Masonry Block {Blue} x1 {3691}	0
781	Giant Mallet	Chintzy Block x1 {3692}	Chintzy Block x1 {3692}	0
782	Giant Mallet	Chintzy Block {White} x1 {3693}	Chintzy Block {White} x1 {3693}	0
783	Giant Mallet	Chintzy Block {Black} x1 {3694}	Chintzy Block {Black} x1 {3694}	0
784	Giant Mallet	Chintzy Block {Purple} x1 {3695}	Chintzy Block {Purple} x1 {3695}	0
785	Giant Mallet	Chintzy Block {Pink} x1 {3696}	Chintzy Block {Pink} x1 {3696}	0
786	Giant Mallet	Chintzy Block {Red} x1 {3697}	Chintzy Block {Red} x1 {3697}	0
787	Giant Mallet	Chintzy Block {Green} x1 {3698}	Chintzy Block {Green} x1 {3698}	0
788	Giant Mallet	Chintzy Block {Yellow} x1 {3699}	Chintzy Block {Yellow} x1 {3699}	0
789	Giant Mallet	Chintzy Block {Blue} x1 {3700}	Chintzy Block {Blue} x1 {3700}	0
790	Giant Mallet	Gingham Carpet x1 {3701}	Gingham Carpet x1 {3701}	0
791	Giant Mallet	Gingham Carpet {White} x1 {3702}	Gingham Carpet {White} x1 {3702}	0
792	Giant Mallet	Gingham Carpet {Black} x1 {3703}	Gingham Carpet {Black} x1 {3703}	0
793	Giant Mallet	Gingham Carpet {Purple} x1 {3704}	Gingham Carpet {Purple} x1 {3704}	0
794	Giant Mallet	Gingham Carpet {Pink} x1 {3705}	Gingham Carpet {Pink} x1 {3705}	0
795	Giant Mallet	Gingham Carpet {Red} x1 {3706}	Gingham Carpet {Red} x1 {3706}	0
796	Giant Mallet	Gingham Carpet {Green} x1 {3707}	Gingham Carpet {Green} x1 {3707}	0
797	Giant Mallet	Gingham Carpet {Yellow} x1 {3708}	Gingham Carpet {Yellow} x1 {3708}	0
798	Giant Mallet	Gingham Carpet {Blue} x1 {3709}	Gingham Carpet {Blue} x1 {3709}	0
799	Giant Mallet	Stripy Wall x1 {3710}	Stripy Wall x1 {3710}	0
800	Giant Mallet	Stripy Wall {White} x1 {3711}	Stripy Wall {White} x1 {3711}	0
801	Giant Mallet	Stripy Wall {Black} x1 {3712}	Stripy Wall {Black} x1 {3712}	0
802	Giant Mallet	Stripy Wall {Purple} x1 {3713}	Stripy Wall {Purple} x1 {3713}	0
803	Giant Mallet	Stripy Wall {Pink} x1 {3714}	Stripy Wall {Pink} x1 {3714}	0
804	Giant Mallet	Stripy Wall {Red} x1 {3715}	Stripy Wall {Red} x1 {3715}	0
805	Giant Mallet	Stripy Wall {Green} x1 {3716}	Stripy Wall {Green} x1 {3716}	0
806	Giant Mallet	Stripy Wall {Yellow} x1 {3717}	Stripy Wall {Yellow} x1 {3717}	0
807	Giant Mallet	Stripy Wall {Blue} x1 {3718}	Stripy Wall {Blue} x1 {3718}	0
808	Giant Mallet	Mottled Wall {3719}	Mottled Wall x1 {3719}	0
809	Giant Mallet	Mottled Wall {White} x1 {3720}	Mottled Wall {White} x1 {3720}	0
810	Giant Mallet	Mottled Wall {Black} x1 {3721}	Mottled Wall {Black} x1 {3721}	0
811	Giant Mallet	Mottled Wall {Purple} x1 {3722}	Mottled Wall {Purple} x1 {3722}	0
812	Giant Mallet	Mottled Wall {Pink} x1 {3723}	Mottled Wall {Pink} x1 {3723}	0
813	Giant Mallet	Mottled Wall {Red} x1 {3724}	Mottled Wall {Red} x1 {3724}	0
814	Giant Mallet	Mottled Wall {Green} x1 {3725}	Mottled Wall {Green} x1 {3725}	0
815	Giant Mallet	Mottled Wall {Yellow} x1 {3726}	Mottled Wall {Yellow} x1 {3726}	0
816	Giant Mallet	Mottled Wall {Blue} x1 {3727}	Mottled Wall {Blue} x1 {3727}	0
817	Giant Mallet	Slimy Wall x1 {3728}	Slimy Wall x1 {3728}	0
818	Giant Mallet	Diamond Design Block x1 {3729}	Diamond Design Block x1 {3729}	0
819	Giant Mallet	Old-Skool Wall Block x1 {3730}	Old-Skool Wall Block x1 {3730}	0
820	Giant Mallet	Art Deco Block x1 {3731}	Art Deco Block x1 {3731}	0
821	Giant Mallet	Jungle Wall x1 {3732}	Jungle Wall x1 {3732}	0
822	Giant Mallet	Vintage Wall x1 {3733}	Vintage Wall x1 {3733}	0
823	Giant Mallet	Damask Design Block x1 {3734}	Damask Design Block x1 {3734}	0
824	Giant Mallet	Damask Design Block {White} x1 {3735}	Damask Design Block {White} x1 {3735}	0
825	Giant Mallet	Damask Design Block {Black} x1 {3736}	Damask Design Block {Black} x1 {3736}	0
826	Giant Mallet	Damask Design Block {Purple} x1 {3737}	Damask Design Block {Purple} x1 {3737}	0
827	Giant Mallet	Damask Design Block {Pink} x1 {3738}	Damask Design Block {Pink} x1 {3738}	0
828	Giant Mallet	Damask Design Block {Red} x1 {3739}	Damask Design Block {Red} x1 {3739}	0
829	Giant Mallet	Damask Design Block {Green} x1 {3740}	Damask Design Block {Green} x1 {3740}	0
830	Giant Mallet	Damask Design Block {Yellow} x1 {3741}	Damask Design Block {Yellow} x1 {3741}	0
831	Giant Mallet	Damask Design Block {Blue} x1 {3742}	Damask Design Block {Blue} x1 {3742}	0
832	Giant Mallet	Refined Design Block x1 {3743}	Refined Design Block x1 {3743}	0
833	Giant Mallet	Classy Cross Block x1 {3792}	Classy Cross Block x1 {3792}	0
834	Giant Mallet	Sunset-Styled Block {White} x1 {3943}	Sunset-Styled Block {White} x1 {3943}	0
835	Giant Mallet	Sunset-Styled Block {Black} x1 {3944}	Sunset-Styled Block {Black} x1 {3944}	0
836	Giant Mallet	Sunset-Styled Block {Purple} x1 {3945}	Sunset-Styled Block {Purple} x1 {3945}	0
837	Giant Mallet	Sunset-Styled Block {Pink} x1 {3946}	Sunset-Styled Block {Pink} x1 {3946}	0
838	Giant Mallet	Sunset-Styled Block {Red} x1 {3947}	Sunset-Styled Block {Red} x1 {3947}	0
839	Giant Mallet	Sunset-Styled Block {Green} x1 {3948}	Sunset-Styled Block {Green} x1 {3948}	0
840	Giant Mallet	Sunset-Styled Block {Yellow} x1 {3949}	Sunset-Styled Block {Yellow} x1 {3949}	0
841	Giant Mallet	Sunset-Styled Block {Blue} x1 {3950}	Sunset-Styled Block {Blue} x1 {3950}	0
842	Giant Mallet	Seaweed-Styled Block {White} x1 {3951}	Seaweed-Styled Block {White} x1 {3951}	0
843	Giant Mallet	Seaweed-Styled Block {Black} x1 {3952}	Seaweed-Styled Block {Black} x1 {3952}	0
844	Giant Mallet	Seaweed-Styled Block {Purple} x1 {3953}	Seaweed-Styled Block {Purple} x1 {3953}	0
845	Giant Mallet	Seaweed-Styled Block {Pink} x1 {3954}	Seaweed-Styled Block {Pink} x1 {3954}	0
846	Giant Mallet	Seaweed-Styled Block {Red} x1 {3955}	Seaweed-Styled Block {Red} x1 {3955}	0
847	Giant Mallet	Seaweed-Styled Block {Green} x1 {3956}	Seaweed-Styled Block {Green} x1 {3956}	0
848	Giant Mallet	Seaweed-Styled Block {Yellow} x1 {3957}	Seaweed-Styled Block {Yellow} x1 {3957}	0
849	Giant Mallet	Seaweed-Styled Block {Blue} x1 {3958}	Seaweed-Styled Block {Blue} x1 {3958}	0
850	Giant Mallet	Vintage Wall {White} x1 {3959}	Vintage Wall {White} x1 {3959}	0
851	Giant Mallet	Vintage Wall {Black} x1 {3960}	Vintage Wall {Black} x1 {3960}	0
852	Giant Mallet	Vintage Wall {Purple} x1 {3961}	Vintage Wall {Purple} x1 {3961}	0
853	Giant Mallet	Vintage Wall {Pink} x1 {3962}	Vintage Wall {Pink} x1 {3962}	0
854	Giant Mallet	Vintage Wall {Red} x1 {3963}	Vintage Wall {Red} x1 {3963}	0
855	Giant Mallet	Vintage Wall {Green} x1 {3964}	Vintage Wall {Green} x1 {3964}	0
856	Giant Mallet	Vintage Wall {Yellow} x1 {3965}	Vintage Wall {Yellow} x1 {3965}	0
857	Giant Mallet	Vintage Wall {Blue} x1 {3966}	Vintage Wall {Blue} x1 {3966}	0
858	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
859	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
860	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
861	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
862	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
863	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
864	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
865	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
866	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
867	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
868	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
869	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
870	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
871	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
872	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
873	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
874	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
875	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
876	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
877	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
878	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
879	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
880	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
881	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
882	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
883	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
884	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
885	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
886	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
887	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
888	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
889	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
890	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
891	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
892	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
893	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
894	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
895	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
896	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
897	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
898	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
899	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
900	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
901	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
902	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
903	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
904	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
905	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
906	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
907	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
908	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
909	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
910	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
911	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
912	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
913	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
914	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
915	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
916	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
917	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
918	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
919	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
920	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
921	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
922	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
923	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
924	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
925	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
926	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
927	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
928	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
929	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
930	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
931	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
932	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
933	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
934	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
935	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
936	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
937	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
938	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
939	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
940	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
941	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
942	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
943	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
944	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
945	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
946	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
947	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
948	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
949	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
950	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
951	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
952	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
953	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
954	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
955	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
956	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
957	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
958	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
959	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
960	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
961	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
962	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
963	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
964	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
965	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
966	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
967	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
968	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
969	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
970	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
971	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
972	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
973	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
974	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
975	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
976	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
977	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
978	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
979	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
980	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
981	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
982	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
983	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
984	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
985	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
986	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
